countyFIPS,State,County Name_x,population,2020-06-07 00:00:00,2020-06-14 00:00:00,2020-06-21 00:00:00,2020-06-28 00:00:00,2020-07-05 00:00:00,2020-07-12 00:00:00,2020-07-19 00:00:00,2020-07-26 00:00:00,2020-08-02 00:00:00,2020-08-09 00:00:00,2020-08-16 00:00:00,2020-08-23 00:00:00,2020-08-30 00:00:00,2020-09-06 00:00:00,2020-09-13 00:00:00,2020-09-20 00:00:00,2020-09-27 00:00:00,2020-10-04 00:00:00,2020-10-11 00:00:00,2020-10-18 00:00:00,2020-10-25 00:00:00,2020-11-01 00:00:00,2020-11-08 00:00:00,2020-11-15 00:00:00,2020-11-22 00:00:00,2020-11-29 00:00:00,2020-12-06 00:00:00,2020-12-13 00:00:00,2020-12-20 00:00:00,2020-12-27 00:00:00,2021-01-03 00:00:00
16013,ID,Blaine County ,23021,3594,3603,3618,3679,3757,3821,3877,3918,3969,4015,4069,4141,4199,4236,4259,4353,4540,4805,5078,5534,5902,6224,6719,7339,8105,8788,9390,10103,10566,10743,10903
16015,ID,Boise County ,7831,0,0,0,6,29,48,90,187,249,310,362,391,417,433,444,457,474,500,511,519,525,571,670,761,841,922,1046,1296,1520,1636,1680
16017,ID,Bonner County ,45739,42,48,69,145,243,356,582,779,1008,1188,1315,1350,1447,1544,1669,1891,2180,2432,2698,2918,3182,3530,3940,4703,5645,6445,7532,9196,10646,12156,13645
16019,ID,Bonneville County ,119062,393,500,631,721,850,1177,1712,2997,4478,6367,8397,9991,11515,13068,14544,16342,18148,20000,22453,25325,28808,32038,35487,40022,45498,50632,55859,62386,66476,69656,72325
16021,ID,Boundary County ,12245,0,0,0,3,7,21,61,160,221,242,262,292,299,310,315,371,396,408,450,570,826,1205,1643,1939,2190,2368,2628,2942,3232,3513,3895
16023,ID,Butte County ,2597,0,0,0,0,0,0,0,0,0,0,5,24,49,112,165,183,191,253,333,446,610,706,754,784,806,845,904,985,1023,1076,1129
16025,ID,Camas County ,1106,7,7,7,7,7,7,7,7,7,7,7,12,21,28,30,104,180,250,265,266,279,287,332,357,359,365,381,392,392,392,394
16027,ID,Canyon County ,229849,2273,2463,2741,4147,7190,11907,18478,26027,31894,37840,42894,46234,48992,51374,53200,54650,56323,58190,60380,63076,66658,70804,76670,83654,92823,102436,112624,122639,131909,137510,143596
16029,ID,Caribou County ,7155,17,25,49,63,76,100,138,147,155,198,233,241,261,288,328,534,734,895,1008,1204,1659,2023,2318,2570,2799,2998,3172,3278,3361,3441,3720
16031,ID,Cassia County ,24030,684,887,1099,1353,1766,2131,2402,2737,3142,3522,3761,3953,4033,4096,4150,4331,4760,5385,6238,7296,8762,9893,11015,12226,13618,14754,15438,16220,16903,17299,17749
16033,ID,Clark County ,845,0,0,0,0,0,0,0,0,0,47,68,104,128,149,162,200,223,244,265,278,280,280,289,312,332,336,348,363,370,371,371
16035,ID,Clearwater County ,8756,0,0,0,3,11,31,47,80,104,110,119,132,143,151,178,197,282,388,609,788,905,1016,1246,1578,2375,3490,4036,4954,5374,5567,5744
16037,ID,Custer County ,4315,14,14,14,18,28,31,42,48,49,60,76,112,177,284,337,389,433,489,530,611,651,669,712,792,894,994,1092,1226,1315,1358,1416
16039,ID,Elmore County ,27511,222,234,262,333,436,574,779,939,1272,1440,1573,1742,1909,2044,2141,2214,2341,2555,2797,3034,3415,3820,4331,4956,5492,6065,6610,7305,8018,8744,9394
16041,ID,Franklin County ,13876,58,79,122,150,180,214,237,274,323,350,364,373,385,408,432,506,726,950,1293,1595,2204,2585,2850,3159,3861,4523,5070,5524,5917,6209,6403
16043,ID,Fremont County ,13099,26,28,28,31,50,66,120,230,308,512,627,673,745,827,922,1052,1266,1627,1976,2304,2860,3399,3737,4099,4472,4829,5222,5672,5834,5957,6077
16045,ID,Gem County ,18112,119,119,121,137,215,326,569,787,998,1188,1296,1398,1449,1572,1751,1875,2118,2387,2460,2633,2839,3055,3365,3841,4869,6136,7318,8294,9132,9445,9872
16047,ID,Gooding County ,15179,368,405,421,431,457,534,641,737,896,1067,1227,1330,1502,1664,1725,1812,1922,2166,2514,2887,3476,4164,4941,5594,6095,6484,6937,7415,7666,7839,8014
16049,ID,Idaho County ,16667,21,21,21,21,33,70,99,153,191,213,232,265,279,305,357,569,1332,1489,1673,1905,2238,2615,3053,3503,4296,4991,5496,6027,6356,6720,7106
16051,ID,Jefferson County ,29871,59,68,79,116,129,151,268,498,836,1215,1586,1984,2328,2565,2735,3167,3711,4303,4908,5587,6248,6937,7604,8458,9445,10277,11396,12714,13302,13920,14423
16053,ID,Jerome County ,24412,1302,1422,1497,1610,1703,1942,2321,2539,2836,3185,3534,3800,4099,4311,4655,4957,5212,5510,5976,6474,7102,7961,9338,10758,12006,12889,13649,14417,14852,15089,15485
16055,ID,Kootenai County ,165697,542,657,776,1139,2265,3956,6005,8359,10327,11995,13466,14256,14982,15613,16230,16980,18093,19308,20706,22534,25905,29747,33917,38735,44401,49791,56053,66351,75023,81581,87609
16057,ID,Latah County ,40108,49,49,56,70,158,228,268,407,525,661,845,1137,1549,1756,1873,2100,2615,3757,4709,5416,6030,6736,7554,8830,10576,11587,12430,13429,14189,14659,15023
16059,ID,Lemhi County ,8027,7,7,14,14,14,17,33,51,74,115,254,414,478,490,500,504,592,753,878,1098,1374,1787,2285,2613,2850,2964,3017,3098,3132,3184,3230
16061,ID,Lewis County ,3838,0,0,0,0,0,0,0,0,0,0,17,42,62,63,76,84,99,222,324,413,513,580,720,927,1154,1333,1567,1960,2185,2296,2379
16063,ID,Lincoln County ,5366,233,242,245,251,252,277,304,320,347,384,420,439,459,491,548,595,620,656,710,866,1046,1503,1852,2066,2271,2418,2563,2764,2926,2989,3036
16065,ID,Madison County ,39907,173,196,208,221,254,363,587,769,897,1054,1234,1431,1598,1826,2182,2985,4293,6182,8911,12438,15818,18509,20383,22506,25301,28026,30540,33503,34829,35784,36625
16067,ID,Minidoka County ,21039,456,630,773,982,1360,1718,2012,2395,2892,3242,3451,3625,3804,3942,4051,4236,4617,5118,5861,6762,7808,8556,9225,10161,11200,12053,12496,13005,13451,13909,14372
16069,ID,Nez Perce County ,40408,579,586,588,640,680,749,804,840,889,1012,1174,1465,1897,2201,2489,2705,2971,3217,3580,4077,5001,6190,8112,10651,13484,15282,16870,18336,19586,20371,21052
16071,ID,Oneida County ,4531,0,0,0,0,20,35,49,51,56,87,109,122,139,152,154,157,165,188,202,215,278,389,516,620,780,909,1117,1423,1607,1677,1739
16073,ID,Owyhee County ,11823,56,56,133,219,309,498,808,1180,1510,1756,1900,1996,2066,2152,2213,2258,2281,2331,2445,2532,2652,2787,2958,3224,3759,4447,5060,5510,5801,5976,6187
16075,ID,Payette County ,23951,175,186,244,464,806,1092,1517,1840,2166,2557,2967,3523,4332,4938,5267,5546,5970,6396,6846,7282,7672,8028,8491,9081,10007,10945,11887,12634,13329,13795,14354
16077,ID,Power County ,7681,45,61,83,112,118,134,147,183,262,370,439,563,733,901,1021,1220,1544,1819,2066,2235,2439,2572,2735,2851,2993,3155,3325,3482,3636,3710,3808
