countyFIPS,State,County Name_x,population,Day,Weekly_cases_per_million
30007,MT,Broadwater County ,6237,2020-06-08,4489.337822671157
6101,CA,Sutter County ,96971,2020-06-08,4485.877221024843
16065,ID,Madison County ,39907,2020-06-08,4485.428621545092
6017,CA,El Dorado County ,192843,2020-06-08,4454.400730127617
30085,MT,Roosevelt County ,11004,2020-06-08,4452.926208651399
16041,ID,Franklin County ,13876,2020-06-08,4251.945805707697
53035,WA,Kitsap County ,271473,2020-06-08,4225.097891871383
41055,OR,Sherman County ,1780,2020-06-08,3932.5842696629215
30009,MT,Carbon County ,10725,2020-06-08,3916.083916083916
56003,WY,Big Horn County ,11790,2020-06-08,3901.6115351993217
53045,WA,Mason County ,66768,2020-06-08,3864.1265276779295
53067,WA,Thurston County ,290536,2020-06-08,3841.1763086157994
56033,WY,Sheridan County ,30485,2020-06-08,3805.1500738067903
30059,MT,Meagher County ,1862,2020-06-08,3759.398496240601
6057,CA,Nevada County ,99755,2020-06-08,3709.087263796301
6033,CA,Lake County ,64386,2020-06-08,3649.8617711924953
16019,ID,Bonneville County ,119062,2020-06-08,3443.5840150509816
41011,OR,Coos County ,64487,2020-06-08,3442.554313272443
16005,ID,Bannock County ,87808,2020-06-08,3382.3797376093294
6009,CA,Calaveras County ,45905,2020-06-08,3376.538503430999
30067,MT,Park County ,16606,2020-06-08,3372.275081295917
16055,ID,Kootenai County ,165697,2020-06-08,3343.4522049282723
30107,MT,Wheatland County ,2126,2020-06-08,3292.5682031984948
16037,ID,Custer County ,4315,2020-06-08,3244.4959443800694
53041,WA,Lewis County ,80707,2020-06-08,3209.139232036874
30035,MT,Glacier County ,13753,2020-06-08,3053.8791536392064
30051,MT,Liberty County ,2337,2020-06-08,2995.293110825845
6011,CA,Colusa County ,21547,2020-06-08,2923.840905926579
53049,WA,Pacific County ,22471,2020-06-08,2803.613546348627
6115,CA,Yuba County ,78668,2020-06-08,2783.851121167438
53075,WA,Whitman County ,50104,2020-06-08,2714.354143381766
16029,ID,Caribou County ,7155,2020-06-08,2655.485674353599
56015,WY,Goshen County ,13211,2020-06-08,2649.3073953523576
6045,CA,Mendocino County ,86749,2020-06-08,2547.5797991907684
6007,CA,Butte County ,219186,2020-06-08,2541.2206984022705
6089,CA,Shasta County ,180080,2020-06-08,2498.889382496668
30029,MT,Flathead County ,103806,2020-06-08,2495.0388224187427
30053,MT,Lincoln County ,19980,2020-06-08,2452.4524524524527
53009,WA,Clallam County ,77331,2020-06-08,2418.176410495144
16011,ID,Bingham County ,46811,2020-06-08,2413.9625301745314
30073,MT,Pondera County ,5911,2020-06-08,2368.4655726611404
41063,OR,Wallowa County ,7208,2020-06-08,2358.490566037736
6093,CA,Siskiyou County ,43539,2020-06-08,2342.727210087508
30063,MT,Missoula County ,119600,2020-06-08,2341.1371237458193
6091,CA,Sierra County ,3005,2020-06-08,2329.450915141431
30023,MT,Deer Lodge County ,9140,2020-06-08,2297.592997811816
30081,MT,Ravalli County ,43806,2020-06-08,2237.1364653243845
30093,MT,Silver Bow County ,34915,2020-06-08,2205.3558642417297
41029,OR,Jackson County ,220944,2020-06-08,2199.652400608299
41009,OR,Columbia County ,52354,2020-06-08,2139.2825763074457
41015,OR,Curry County ,22925,2020-06-08,2137.4045801526718
56035,WY,Sublette County ,9831,2020-06-08,2136.100091547147
16043,ID,Fremont County ,13099,2020-06-08,2061.2260477899076
16051,ID,Jefferson County ,29871,2020-06-08,2042.1144253623918
53065,WA,Stevens County ,45723,2020-06-08,1946.5039476849727
30083,MT,Richland County ,10803,2020-06-08,1943.9044709802831
41033,OR,Josephine County ,87487,2020-06-08,1840.2734120497903
30049,MT,Lewis and Clark County ,69432,2020-06-08,1829.127779698122
