countyFIPS,County Name,State,StateFIPS,2020-06-07_cases,2020-06-14_cases,2020-06-21_cases,2020-06-28_cases,2020-07-05_cases,2020-07-12_cases,2020-07-19_cases,2020-07-26_cases,2020-08-02_cases,2020-08-09_cases,2020-08-16_cases,2020-08-23_cases,2020-08-30_cases,2020-09-06_cases,2020-09-13_cases,2020-09-20_cases,2020-09-27_cases,2020-10-04_cases,2020-10-11_cases,2020-10-18_cases,2020-10-25_cases,2020-11-01_cases,2020-11-08_cases,2020-11-15_cases,2020-11-22_cases,2020-11-29_cases,2020-12-06_cases,2020-12-13_cases,2020-12-20_cases,2020-12-27_cases,2021-01-03_cases,2020-06-07_deaths,2020-06-14_deaths,2020-06-21_deaths,2020-06-28_deaths,2020-07-05_deaths,2020-07-12_deaths,2020-07-19_deaths,2020-07-26_deaths,2020-08-02_deaths,2020-08-09_deaths,2020-08-16_deaths,2020-08-23_deaths,2020-08-30_deaths,2020-09-06_deaths,2020-09-13_deaths,2020-09-20_deaths,2020-09-27_deaths,2020-10-04_deaths,2020-10-11_deaths,2020-10-18_deaths,2020-10-25_deaths,2020-11-01_deaths,2020-11-08_deaths,2020-11-15_deaths,2020-11-22_deaths,2020-11-29_deaths,2020-12-06_deaths,2020-12-13_deaths,2020-12-20_deaths,2020-12-27_deaths,2021-01-03_deaths,population
13053,Chattahoochee County ,GA,13,173,251,315,404,429,463,495,509,660,761,810,931,1113,1436,1583,1624,1632,1683,1706,1718,1742,1804,1839,1906,1918,1974,2025,2099,2129,2142,2167,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10907
13055,Chattooga County ,GA,13,25,35,49,56,67,81,93,144,198,266,360,422,553,636,678,723,765,812,838,874,927,976,1028,1066,1088,1126,1171,1296,1394,1473,1595,2,2,2,2,2,2,2,2,2,3,4,5,5,6,7,12,22,22,26,27,29,29,29,30,31,31,32,36,39,43,44,24789
13057,Cherokee County ,GA,13,966,1036,1108,1250,1461,1760,2110,2453,2853,3462,3981,4369,4817,5200,5513,5770,6021,6239,6471,6746,7037,7364,7701,8133,8726,9147,9739,10421,11237,12122,13384,34,38,39,43,44,48,49,52,56,63,67,72,78,81,87,91,92,93,97,100,101,102,104,109,111,113,114,115,121,125,127,258773
13059,Clarke County ,GA,13,323,347,383,486,713,939,1238,1449,1717,2047,2250,2491,2842,3750,4503,4874,5024,5198,5373,5551,5699,5865,6040,6261,6449,6657,7037,7467,7866,8215,8780,15,15,15,15,15,15,15,15,17,18,21,25,26,34,36,41,44,45,46,46,47,50,50,50,52,54,55,57,59,62,63,128331
13061,Clay County ,GA,13,47,52,56,56,56,61,65,69,80,86,103,109,111,114,118,120,121,121,122,122,124,124,124,125,125,126,127,132,138,143,150,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2834
13063,Clayton County ,GA,13,1333,1432,1618,1884,2346,2806,3411,4002,4518,5006,5522,6042,6458,6664,6850,7015,7078,7178,7466,7842,8137,8467,8759,9094,9482,9805,10365,11280,12017,12681,13715,51,69,76,79,79,82,85,92,101,110,116,121,137,145,154,158,161,162,170,174,175,179,183,188,192,195,198,202,209,218,223,292256
13065,Clinch County ,GA,13,69,80,85,103,112,115,131,159,174,196,216,267,285,309,336,365,377,390,404,422,445,461,471,482,487,489,495,503,512,534,570,2,2,2,3,3,3,4,4,4,4,4,4,4,5,5,6,6,9,11,12,12,13,13,13,13,13,13,14,14,14,14,6618
13067,Cobb County ,GA,13,3262,3606,3938,4609,5766,7061,8370,10120,11690,13564,14893,15931,16896,17734,18495,19041,19551,20010,20545,21158,21750,22375,23090,24007,25325,26329,27949,30294,32783,35103,38473,193,216,229,240,246,253,264,287,298,319,339,369,391,404,413,421,426,429,442,447,454,459,468,482,487,493,502,513,530,545,555,760141
13069,Coffee County ,GA,13,300,345,414,532,618,931,1049,1198,1341,1462,1591,1701,1775,1861,1910,1981,2053,2096,2149,2186,2242,2305,2370,2432,2528,2617,2764,2964,3137,3321,3507,14,14,15,17,17,17,18,22,25,28,32,34,37,38,41,43,49,52,57,59,60,64,65,68,69,72,72,72,73,78,80,43273
13071,Colquitt County ,GA,13,569,665,742,910,1103,1278,1360,1419,1481,1546,1623,1676,1751,1811,1870,1871,1878,1915,1976,2070,2123,2142,2169,2194,2194,2211,2301,2384,2435,2490,2582,15,17,17,18,18,20,20,21,22,23,24,25,26,28,32,33,33,35,37,39,39,40,40,41,41,41,43,44,44,44,44,45600
13073,Columbia County ,GA,13,274,301,344,425,629,856,1205,1495,1919,2241,2635,2955,3109,3299,3461,3625,3741,3853,3982,4164,4330,4500,4618,4930,5170,5372,5681,6131,6563,6957,7475,8,8,8,9,9,12,14,18,19,23,34,40,44,47,56,57,61,61,62,64,64,66,68,69,71,72,75,81,83,84,86,156714
13075,Cook County ,GA,13,56,73,92,130,177,242,289,339,402,438,472,494,508,522,531,542,549,555,562,571,582,614,654,683,723,768,819,857,927,966,1016,1,1,1,1,2,4,4,5,6,6,9,10,11,11,12,12,13,14,14,15,16,16,16,16,16,17,19,19,20,23,23,17270
13077,Coweta County ,GA,13,467,513,551,646,777,889,1010,1184,1338,1503,1768,2014,2244,2337,2402,2505,2605,2669,2757,2851,2949,3018,3092,3185,3437,3633,3831,4165,4570,4961,5506,9,11,14,15,16,16,16,17,21,22,26,26,26,32,38,41,46,50,58,60,63,63,63,64,67,68,71,72,72,77,78,148509
13079,Crawford County ,GA,13,29,32,36,39,51,56,67,81,89,102,117,136,151,159,163,165,166,170,182,189,195,196,203,210,220,228,240,269,306,340,378,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,12404
13081,Crisp County ,GA,13,238,242,258,268,292,311,337,348,363,374,415,428,466,495,513,531,551,585,607,631,641,664,683,698,699,720,738,820,890,931,1001,8,10,11,12,12,13,13,14,14,14,15,15,15,15,17,17,17,18,19,23,23,23,24,26,26,26,26,26,27,27,28,22372
